bin_center N_events
1.0 0.0
3.0 0.0
5.0 0.0
7.0 0.0
9.0 0.0
11.0 1.0
13.0 0.0
15.0 0.0
17.0 0.0
19.0 2.0
21.0 0.0
23.0 2.0
25.0 0.0
27.0 0.0
29.0 0.0
31.0 0.0
33.0 0.0
35.0 0.0
37.0 0.0
39.0 4.0
41.0 7.0
43.0 17.0
45.0 50.0
47.0 89.0
49.0 168.0
51.0 325.0
53.0 522.0
55.0 768.0
57.0 1034.0
59.0 1335.0
61.0 1536.0
63.0 1468.0
65.0 1530.0
67.0 1401.0
69.0 1413.0
71.0 1437.0
73.0 1314.0
75.0 1282.0
77.0 1320.0
79.0 1192.0
81.0 1131.0
83.0 1026.0
85.0 1093.0
87.0 1054.0
89.0 1090.0
91.0 1065.0
93.0 978.0
95.0 1028.0
97.0 1034.0
99.0 1021.0
101.0 1038.0
103.0 1045.0
105.0 1086.0
107.0 1069.0
109.0 1009.0
111.0 1058.0
113.0 1108.0
115.0 1135.0
117.0 1165.0
119.0 1094.0
121.0 1137.0
123.0 1133.0
125.0 1112.0
127.0 1193.0
129.0 1123.0
131.0 1099.0
133.0 1159.0
135.0 1098.0
137.0 1126.0
139.0 1093.0
141.0 1094.0
143.0 1104.0
145.0 1085.0
147.0 1092.0
149.0 1084.0
151.0 1078.0
153.0 1130.0
155.0 1168.0
157.0 1143.0
159.0 1138.0
161.0 1161.0
163.0 1147.0
165.0 1158.0
167.0 1169.0
169.0 1129.0
171.0 1094.0
173.0 1140.0
175.0 1195.0
177.0 1148.0
179.0 1178.0
181.0 1196.0
183.0 1194.0
185.0 1164.0
187.0 1202.0
189.0 1257.0
191.0 1255.0
193.0 1273.0
195.0 1308.0
197.0 1289.0
199.0 1429.0
201.0 1323.0
203.0 1463.0
205.0 1405.0
207.0 1459.0
209.0 1515.0
211.0 1539.0
213.0 1561.0
215.0 1506.0
217.0 1523.0
219.0 1531.0
221.0 1467.0
223.0 1403.0
225.0 1474.0
227.0 1381.0
229.0 1399.0
231.0 1411.0
233.0 1437.0
235.0 1375.0
237.0 1324.0
239.0 1383.0
241.0 1334.0
243.0 1343.0
245.0 1292.0
247.0 1374.0
249.0 1288.0
251.0 1284.0
253.0 1270.0
255.0 1249.0
257.0 1276.0
259.0 1210.0
261.0 1308.0
263.0 1226.0
265.0 1264.0
267.0 1201.0
269.0 1173.0
271.0 1144.0
273.0 1167.0
275.0 1198.0
277.0 1194.0
279.0 1205.0
281.0 1206.0
283.0 1138.0
285.0 1109.0
287.0 1125.0
289.0 1119.0
291.0 1058.0
293.0 1082.0
295.0 1099.0
297.0 1160.0
299.0 1082.0
301.0 1127.0
303.0 1073.0
305.0 1051.0
307.0 1057.0
309.0 1122.0
311.0 1081.0
313.0 1074.0
315.0 1006.0
317.0 992.0
319.0 981.0
321.0 1007.0
323.0 1003.0
325.0 1065.0
327.0 940.0
329.0 1075.0
331.0 1005.0
333.0 986.0
335.0 1003.0
337.0 996.0
339.0 1035.0
341.0 1008.0
343.0 1004.0
345.0 992.0
347.0 952.0
349.0 958.0
351.0 978.0
353.0 970.0
355.0 1026.0
357.0 962.0
359.0 994.0
361.0 956.0
363.0 937.0
365.0 956.0
367.0 951.0
369.0 881.0
371.0 951.0
373.0 949.0
375.0 949.0
377.0 973.0
379.0 916.0
381.0 943.0
383.0 953.0
385.0 993.0
387.0 941.0
389.0 907.0
391.0 932.0
393.0 973.0
395.0 952.0
397.0 1008.0
399.0 944.0
401.0 900.0
403.0 992.0
405.0 919.0
407.0 930.0
409.0 938.0
411.0 910.0
413.0 893.0
415.0 961.0
417.0 892.0
419.0 892.0
421.0 873.0
423.0 935.0
425.0 925.0
427.0 915.0
429.0 935.0
431.0 915.0
433.0 898.0
435.0 879.0
437.0 952.0
439.0 918.0
441.0 928.0
443.0 951.0
445.0 972.0
447.0 919.0
449.0 919.0
451.0 912.0
453.0 915.0
455.0 988.0
457.0 887.0
459.0 824.0
461.0 887.0
463.0 905.0
465.0 878.0
467.0 917.0
469.0 921.0
471.0 913.0
473.0 944.0
475.0 852.0
477.0 941.0
479.0 899.0
481.0 935.0
483.0 910.0
485.0 948.0
487.0 906.0
489.0 949.0
491.0 907.0
493.0 906.0
495.0 921.0
497.0 962.0
499.0 926.0
501.0 935.0
503.0 945.0
505.0 926.0
507.0 941.0
509.0 938.0
511.0 906.0
513.0 991.0
515.0 920.0
517.0 974.0
519.0 970.0
521.0 951.0
523.0 951.0
525.0 920.0
527.0 947.0
529.0 1031.0
531.0 938.0
533.0 934.0
535.0 901.0
537.0 954.0
539.0 953.0
541.0 967.0
543.0 902.0
545.0 978.0
547.0 1024.0
549.0 949.0
551.0 970.0
553.0 989.0
555.0 932.0
557.0 926.0
559.0 971.0
561.0 1008.0
563.0 967.0
565.0 912.0
567.0 979.0
569.0 935.0
571.0 959.0
573.0 915.0
575.0 930.0
577.0 912.0
579.0 932.0
581.0 910.0
583.0 884.0
585.0 827.0
587.0 783.0
589.0 814.0
591.0 794.0
593.0 785.0
595.0 704.0
597.0 687.0
599.0 661.0
601.0 652.0
603.0 593.0
605.0 598.0
607.0 525.0
609.0 547.0
611.0 492.0
613.0 431.0
615.0 451.0
617.0 419.0
619.0 371.0
621.0 388.0
623.0 395.0
