bin_center N_events
1.0 0.0
3.0 0.0
5.0 0.0
7.0 0.0
9.0 0.0
11.0 1.0
13.0 1.0
15.0 0.0
17.0 0.0
19.0 3.0
21.0 0.0
23.0 1.0
25.0 0.0
27.0 0.0
29.0 0.0
31.0 0.0
33.0 1.0
35.0 0.0
37.0 0.0
39.0 0.0
41.0 1.0
43.0 1.0
45.0 0.0
47.0 4.0
49.0 10.0
51.0 12.0
53.0 15.0
55.0 30.0
57.0 51.0
59.0 50.0
61.0 52.0
63.0 54.0
65.0 64.0
67.0 61.0
69.0 53.0
71.0 49.0
73.0 54.0
75.0 66.0
77.0 53.0
79.0 44.0
81.0 46.0
83.0 29.0
85.0 47.0
87.0 42.0
89.0 46.0
91.0 35.0
93.0 34.0
95.0 45.0
97.0 48.0
99.0 38.0
101.0 40.0
103.0 42.0
105.0 25.0
107.0 50.0
109.0 38.0
111.0 39.0
113.0 43.0
115.0 43.0
117.0 54.0
119.0 34.0
121.0 42.0
123.0 39.0
125.0 40.0
127.0 43.0
129.0 34.0
131.0 50.0
133.0 45.0
135.0 30.0
137.0 38.0
139.0 38.0
141.0 50.0
143.0 41.0
145.0 39.0
147.0 30.0
149.0 32.0
151.0 49.0
153.0 52.0
155.0 45.0
157.0 45.0
159.0 30.0
161.0 40.0
163.0 53.0
165.0 43.0
167.0 42.0
169.0 47.0
171.0 30.0
173.0 53.0
175.0 43.0
177.0 52.0
179.0 52.0
181.0 71.0
183.0 57.0
185.0 45.0
187.0 58.0
189.0 56.0
191.0 58.0
193.0 54.0
195.0 51.0
197.0 64.0
199.0 56.0
201.0 42.0
203.0 49.0
205.0 47.0
207.0 54.0
209.0 65.0
211.0 45.0
213.0 49.0
215.0 44.0
217.0 53.0
219.0 58.0
221.0 62.0
223.0 61.0
225.0 44.0
227.0 41.0
229.0 48.0
231.0 56.0
233.0 40.0
235.0 46.0
237.0 55.0
239.0 50.0
241.0 46.0
243.0 45.0
245.0 51.0
247.0 45.0
249.0 46.0
251.0 32.0
253.0 33.0
255.0 43.0
257.0 41.0
259.0 42.0
261.0 41.0
263.0 48.0
265.0 46.0
267.0 31.0
269.0 46.0
271.0 51.0
273.0 49.0
275.0 37.0
277.0 40.0
279.0 35.0
281.0 33.0
283.0 40.0
285.0 53.0
287.0 36.0
289.0 40.0
291.0 53.0
293.0 43.0
295.0 50.0
297.0 44.0
299.0 33.0
301.0 57.0
303.0 53.0
305.0 48.0
307.0 37.0
309.0 42.0
311.0 41.0
313.0 36.0
315.0 45.0
317.0 45.0
319.0 46.0
321.0 50.0
323.0 32.0
325.0 35.0
327.0 36.0
329.0 25.0
331.0 45.0
333.0 30.0
335.0 49.0
337.0 38.0
339.0 39.0
341.0 47.0
343.0 45.0
345.0 44.0
347.0 33.0
349.0 34.0
351.0 27.0
353.0 50.0
355.0 47.0
357.0 32.0
359.0 42.0
361.0 33.0
363.0 30.0
365.0 37.0
367.0 32.0
369.0 48.0
371.0 37.0
373.0 45.0
375.0 30.0
377.0 37.0
379.0 35.0
381.0 42.0
383.0 36.0
385.0 25.0
387.0 35.0
389.0 48.0
391.0 46.0
393.0 40.0
395.0 42.0
397.0 34.0
399.0 47.0
401.0 34.0
403.0 32.0
405.0 38.0
407.0 33.0
409.0 36.0
411.0 30.0
413.0 42.0
415.0 24.0
417.0 29.0
419.0 24.0
421.0 30.0
423.0 27.0
425.0 25.0
427.0 27.0
429.0 27.0
431.0 20.0
433.0 21.0
435.0 11.0
437.0 26.0
439.0 19.0
441.0 23.0
443.0 17.0
445.0 12.0
447.0 14.0
449.0 18.0
451.0 17.0
453.0 18.0
455.0 25.0
457.0 10.0
459.0 24.0
461.0 15.0
463.0 24.0
465.0 21.0
467.0 11.0
469.0 19.0
471.0 22.0
473.0 16.0
475.0 18.0
477.0 15.0
479.0 25.0
481.0 16.0
483.0 20.0
485.0 12.0
487.0 15.0
489.0 14.0
491.0 17.0
493.0 14.0
495.0 24.0
497.0 11.0
499.0 9.0
501.0 12.0
503.0 17.0
505.0 12.0
507.0 18.0
509.0 11.0
511.0 15.0
513.0 12.0
515.0 15.0
517.0 13.0
519.0 16.0
521.0 21.0
523.0 19.0
525.0 14.0
527.0 16.0
529.0 11.0
531.0 18.0
533.0 23.0
535.0 16.0
537.0 16.0
539.0 16.0
541.0 14.0
543.0 12.0
545.0 6.0
547.0 10.0
549.0 12.0
551.0 12.0
553.0 18.0
555.0 14.0
557.0 12.0
559.0 11.0
561.0 18.0
563.0 12.0
565.0 6.0
567.0 6.0
569.0 14.0
571.0 12.0
573.0 14.0
575.0 11.0
577.0 13.0
579.0 9.0
581.0 6.0
583.0 16.0
585.0 18.0
587.0 12.0
589.0 15.0
591.0 15.0
593.0 22.0
595.0 14.0
597.0 14.0
599.0 22.0
601.0 24.0
603.0 18.0
605.0 31.0
607.0 24.0
609.0 40.0
611.0 36.0
613.0 57.0
615.0 57.0
617.0 82.0
619.0 76.0
621.0 119.0
623.0 110.0
625.0 131.0
627.0 126.0
629.0 164.0
631.0 183.0
633.0 181.0
635.0 196.0
637.0 179.0
639.0 186.0
641.0 225.0
643.0 222.0
645.0 191.0
647.0 191.0
649.0 148.0
651.0 146.0
653.0 132.0
655.0 122.0
657.0 103.0
659.0 79.0
