bin_center N_events
1.0 0.0
3.0 0.0
5.0 0.0
7.0 0.0
9.0 0.0
11.0 0.0
13.0 0.0
15.0 1.0
17.0 0.0
19.0 0.0
21.0 2.0
23.0 0.0
25.0 1.0
27.0 0.0
29.0 0.0
31.0 0.0
33.0 0.0
35.0 0.0
37.0 1.0
39.0 2.0
41.0 10.0
43.0 30.0
45.0 70.0
47.0 239.0
49.0 640.0
51.0 1573.0
53.0 3162.0
55.0 5327.0
57.0 7620.0
59.0 9193.0
61.0 9905.0
63.0 9558.0
65.0 9162.0
67.0 8881.0
69.0 9148.0
71.0 9276.0
73.0 9216.0
75.0 8402.0
77.0 7774.0
79.0 6620.0
81.0 5760.0
83.0 4810.0
85.0 4236.0
87.0 3626.0
89.0 3210.0
91.0 2977.0
93.0 2806.0
95.0 2866.0
97.0 3200.0
99.0 4173.0
101.0 6281.0
103.0 9777.0
105.0 15738.0
107.0 24490.0
109.0 35733.0
111.0 48571.0
113.0 60954.0
115.0 71291.0
117.0 76350.0
119.0 76652.0
121.0 71138.0
123.0 60880.0
125.0 49120.0
127.0 37478.0
129.0 27734.0
131.0 20693.0
133.0 15933.0
135.0 12928.0
137.0 10905.0
139.0 9450.0
141.0 7852.0
143.0 6424.0
145.0 4717.0
147.0 3382.0
149.0 2307.0
151.0 1437.0
153.0 803.0
155.0 392.0
157.0 225.0
159.0 114.0
161.0 64.0
163.0 23.0
165.0 9.0
167.0 6.0
169.0 10.0
171.0 9.0
173.0 6.0
175.0 11.0
177.0 8.0
179.0 5.0
181.0 10.0
183.0 13.0
185.0 8.0
187.0 12.0
189.0 16.0
191.0 12.0
193.0 14.0
195.0 14.0
197.0 14.0
199.0 9.0
201.0 8.0
203.0 12.0
205.0 9.0
207.0 9.0
209.0 12.0
211.0 13.0
213.0 14.0
215.0 10.0
217.0 12.0
219.0 8.0
221.0 7.0
223.0 11.0
225.0 14.0
227.0 11.0
229.0 6.0
231.0 5.0
233.0 7.0
235.0 11.0
237.0 4.0
239.0 11.0
241.0 10.0
243.0 10.0
245.0 4.0
247.0 10.0
249.0 9.0
251.0 19.0
253.0 10.0
255.0 15.0
257.0 13.0
259.0 17.0
261.0 16.0
263.0 12.0
265.0 14.0
267.0 13.0
269.0 7.0
271.0 8.0
273.0 11.0
275.0 9.0
277.0 10.0
279.0 6.0
281.0 10.0
283.0 3.0
285.0 5.0
287.0 14.0
289.0 12.0
291.0 12.0
293.0 8.0
295.0 3.0
297.0 6.0
299.0 3.0
301.0 9.0
303.0 9.0
305.0 3.0
307.0 5.0
309.0 6.0
311.0 7.0
313.0 5.0
315.0 5.0
317.0 3.0
319.0 3.0
321.0 9.0
323.0 4.0
325.0 4.0
327.0 9.0
329.0 12.0
331.0 3.0
333.0 2.0
335.0 9.0
337.0 10.0
339.0 3.0
341.0 1.0
343.0 5.0
345.0 5.0
347.0 7.0
349.0 6.0
351.0 6.0
353.0 4.0
355.0 3.0
357.0 4.0
359.0 3.0
361.0 6.0
363.0 6.0
365.0 4.0
367.0 5.0
369.0 4.0
371.0 6.0
373.0 4.0
375.0 10.0
377.0 2.0
379.0 5.0
381.0 8.0
383.0 7.0
385.0 9.0
387.0 8.0
389.0 6.0
391.0 4.0
393.0 8.0
395.0 11.0
397.0 4.0
399.0 7.0
401.0 6.0
403.0 4.0
405.0 6.0
407.0 6.0
409.0 7.0
411.0 5.0
413.0 6.0
415.0 4.0
417.0 10.0
419.0 4.0
421.0 4.0
423.0 7.0
425.0 8.0
427.0 1.0
429.0 14.0
431.0 4.0
433.0 4.0
435.0 7.0
437.0 8.0
439.0 9.0
441.0 2.0
443.0 3.0
445.0 2.0
447.0 4.0
449.0 2.0
451.0 6.0
453.0 6.0
455.0 3.0
457.0 3.0
459.0 3.0
461.0 5.0
463.0 9.0
465.0 0.0
467.0 3.0
469.0 3.0
471.0 10.0
473.0 6.0
475.0 1.0
477.0 8.0
479.0 4.0
481.0 4.0
483.0 1.0
485.0 5.0
487.0 5.0
489.0 2.0
491.0 8.0
493.0 0.0
495.0 3.0
497.0 4.0
499.0 4.0
501.0 5.0
503.0 4.0
505.0 5.0
507.0 9.0
509.0 2.0
511.0 4.0
513.0 4.0
515.0 6.0
517.0 5.0
519.0 7.0
521.0 2.0
523.0 5.0
525.0 2.0
527.0 2.0
529.0 3.0
531.0 2.0
533.0 4.0
535.0 1.0
537.0 3.0
539.0 3.0
541.0 8.0
543.0 4.0
545.0 8.0
547.0 3.0
549.0 2.0
551.0 5.0
553.0 5.0
555.0 8.0
557.0 2.0
559.0 6.0
561.0 4.0
563.0 1.0
565.0 2.0
567.0 5.0
569.0 4.0
571.0 3.0
573.0 5.0
575.0 4.0
577.0 10.0
579.0 4.0
581.0 7.0
583.0 3.0
585.0 5.0
587.0 5.0
589.0 5.0
591.0 0.0
593.0 1.0
595.0 6.0
597.0 9.0
599.0 5.0
601.0 3.0
603.0 1.0
605.0 8.0
607.0 3.0
609.0 2.0
611.0 4.0
613.0 4.0
615.0 8.0
617.0 3.0
619.0 4.0
621.0 3.0
623.0 5.0
625.0 1.0
627.0 6.0
629.0 8.0
631.0 5.0
633.0 2.0
635.0 0.0
637.0 3.0
639.0 2.0
641.0 3.0
643.0 0.0
645.0 3.0
647.0 2.0
