bin_center N_events
1.0 0.0
3.0 0.0
5.0 0.0
7.0 0.0
9.0 0.0
11.0 0.0
13.0 1.0
15.0 0.0
17.0 0.0
19.0 0.0
21.0 0.0
23.0 0.0
25.0 1.0
27.0 0.0
29.0 0.0
31.0 0.0
33.0 0.0
35.0 0.0
37.0 0.0
39.0 0.0
41.0 1.0
43.0 1.0
45.0 1.0
47.0 9.0
49.0 10.0
51.0 23.0
53.0 52.0
55.0 79.0
57.0 104.0
59.0 134.0
61.0 114.0
63.0 123.0
65.0 132.0
67.0 112.0
69.0 112.0
71.0 133.0
73.0 118.0
75.0 115.0
77.0 129.0
79.0 93.0
81.0 83.0
83.0 92.0
85.0 81.0
87.0 88.0
89.0 79.0
91.0 85.0
93.0 75.0
95.0 88.0
97.0 90.0
99.0 91.0
101.0 82.0
103.0 97.0
105.0 81.0
107.0 80.0
109.0 93.0
111.0 102.0
113.0 83.0
115.0 111.0
117.0 87.0
119.0 75.0
121.0 92.0
123.0 82.0
125.0 74.0
127.0 71.0
129.0 94.0
131.0 79.0
133.0 74.0
135.0 78.0
137.0 79.0
139.0 92.0
141.0 80.0
143.0 89.0
145.0 66.0
147.0 99.0
149.0 89.0
151.0 78.0
153.0 82.0
155.0 83.0
157.0 97.0
159.0 94.0
161.0 85.0
163.0 105.0
165.0 90.0
167.0 102.0
169.0 81.0
171.0 85.0
173.0 99.0
175.0 82.0
177.0 91.0
179.0 97.0
181.0 80.0
183.0 96.0
185.0 105.0
187.0 85.0
189.0 94.0
191.0 105.0
193.0 109.0
195.0 99.0
197.0 108.0
199.0 129.0
201.0 117.0
203.0 102.0
205.0 110.0
207.0 145.0
209.0 133.0
211.0 122.0
213.0 95.0
215.0 129.0
217.0 122.0
219.0 123.0
221.0 137.0
223.0 126.0
225.0 121.0
227.0 118.0
229.0 142.0
231.0 113.0
233.0 105.0
235.0 105.0
237.0 112.0
239.0 119.0
241.0 113.0
243.0 119.0
245.0 114.0
247.0 101.0
249.0 110.0
251.0 129.0
253.0 98.0
255.0 97.0
257.0 124.0
259.0 104.0
261.0 99.0
263.0 99.0
265.0 104.0
267.0 106.0
269.0 97.0
271.0 94.0
273.0 99.0
275.0 97.0
277.0 107.0
279.0 97.0
281.0 99.0
283.0 115.0
285.0 104.0
287.0 83.0
289.0 81.0
291.0 87.0
293.0 92.0
295.0 87.0
297.0 91.0
299.0 100.0
301.0 92.0
303.0 89.0
305.0 86.0
307.0 76.0
309.0 93.0
311.0 101.0
313.0 83.0
315.0 93.0
317.0 78.0
319.0 77.0
321.0 83.0
323.0 86.0
325.0 82.0
327.0 79.0
329.0 76.0
331.0 89.0
333.0 86.0
335.0 84.0
337.0 88.0
339.0 78.0
341.0 82.0
343.0 87.0
345.0 81.0
347.0 89.0
349.0 67.0
351.0 92.0
353.0 82.0
355.0 82.0
357.0 93.0
359.0 65.0
361.0 73.0
363.0 80.0
365.0 86.0
367.0 101.0
369.0 65.0
371.0 84.0
373.0 95.0
375.0 96.0
377.0 79.0
379.0 65.0
381.0 73.0
383.0 72.0
385.0 73.0
387.0 85.0
389.0 86.0
391.0 84.0
393.0 59.0
395.0 70.0
397.0 71.0
399.0 73.0
401.0 77.0
403.0 70.0
405.0 79.0
407.0 67.0
409.0 78.0
411.0 91.0
413.0 74.0
415.0 99.0
417.0 85.0
419.0 73.0
421.0 67.0
423.0 76.0
425.0 86.0
427.0 70.0
429.0 69.0
431.0 78.0
433.0 72.0
435.0 72.0
437.0 71.0
439.0 69.0
441.0 74.0
443.0 71.0
445.0 76.0
447.0 70.0
449.0 72.0
451.0 81.0
453.0 79.0
455.0 71.0
457.0 71.0
459.0 75.0
461.0 64.0
463.0 71.0
465.0 70.0
467.0 76.0
469.0 83.0
471.0 72.0
473.0 61.0
475.0 75.0
477.0 85.0
479.0 72.0
481.0 63.0
483.0 85.0
485.0 75.0
487.0 70.0
489.0 75.0
491.0 69.0
493.0 63.0
495.0 65.0
497.0 75.0
499.0 78.0
501.0 70.0
503.0 88.0
505.0 78.0
507.0 83.0
509.0 74.0
511.0 91.0
513.0 87.0
515.0 67.0
517.0 95.0
519.0 55.0
521.0 76.0
523.0 86.0
525.0 75.0
527.0 90.0
529.0 81.0
531.0 91.0
533.0 76.0
535.0 81.0
537.0 77.0
539.0 89.0
541.0 72.0
543.0 100.0
545.0 73.0
547.0 82.0
549.0 62.0
551.0 84.0
553.0 79.0
555.0 90.0
557.0 86.0
559.0 81.0
561.0 98.0
563.0 92.0
565.0 83.0
567.0 73.0
569.0 78.0
571.0 77.0
573.0 79.0
575.0 73.0
577.0 66.0
579.0 69.0
581.0 73.0
583.0 60.0
585.0 72.0
587.0 78.0
589.0 66.0
591.0 72.0
593.0 58.0
595.0 57.0
597.0 48.0
599.0 39.0
601.0 54.0
603.0 52.0
605.0 45.0
607.0 59.0
609.0 47.0
611.0 52.0
613.0 40.0
615.0 43.0
617.0 33.0
619.0 41.0
621.0 37.0
623.0 34.0
625.0 33.0
627.0 31.0
629.0 22.0
631.0 34.0
633.0 26.0
635.0 24.0
637.0 28.0
639.0 31.0
641.0 30.0
643.0 27.0
645.0 25.0
647.0 27.0
649.0 29.0
651.0 42.0
653.0 30.0
655.0 30.0
657.0 23.0
659.0 30.0
