Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1,
Sample Interval,0.008,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.5
Label,,
TIME,CH1,CH2
-8.000e+00,2.4,-1.19
-7.992e+00,2.4,-1.19
-7.984e+00,2.4,-1.19
-7.976e+00,2.2,-1.19
-7.968e+00,2.2,-1.19
-7.960e+00,2.2,-1.19
-7.952e+00,2.2,-1.19
-7.944e+00,2,-1.19
-7.936e+00,2.2,-1.19
-7.928e+00,2,-1.19
-7.920e+00,2,-1.19
-7.912e+00,2,-1.19
-7.904e+00,2,-1.19
-7.896e+00,2,-1.19
-7.888e+00,2,-1.19
-7.880e+00,1.8,-1.19
-7.872e+00,1.8,-1.19
-7.864e+00,1.6,-1.19
-7.856e+00,1.8,-1.19
-7.848e+00,1.6,-1.19
-7.840e+00,1.4,-1.19
-7.832e+00,1.6,-1.19
-7.824e+00,1.6,-1.19
-7.816e+00,1.6,-1.19
-7.808e+00,1.4,-1.19
-7.800e+00,1.4,-1.19
-7.792e+00,1.4,-1.19
-7.784e+00,1.2,-1.19
-7.776e+00,1.4,-1.19
-7.768e+00,1.2,-1.19
-7.760e+00,1,-1.19
-7.752e+00,1.2,-1.19
-7.744e+00,1,-1.19
-7.736e+00,1,-1.19
-7.728e+00,1,-1.19
-7.720e+00,1,-1.19
-7.712e+00,1,-1.19
-7.704e+00,0.8,-1.19
-7.696e+00,0.8,-1.19
-7.688e+00,0.8,-1.19
-7.680e+00,0.8,-1.19
-7.672e+00,0.6,-1.19
-7.664e+00,0.6,-1.19
-7.656e+00,0.6,-1.19
-7.648e+00,0.6,-1.19
-7.640e+00,0.6,-1.19
-7.632e+00,0.4,-1.19
-7.624e+00,0.4,-1.19
-7.616e+00,0.4,-1.19
-7.608e+00,0.4,-1.19
-7.600e+00,0.4,-1.19
-7.592e+00,0.4,-1.19
-7.584e+00,0.2,-1.19
-7.576e+00,0.2,-1.19
-7.568e+00,0.2,0.05
-7.560e+00,0.2,0.03
-7.552e+00,0.2,0.05
-7.544e+00,0.2,0.05
-7.536e+00,0.2,0.05
-7.528e+00,0.2,0.05
-7.520e+00,-2.38419e-07,0.03
-7.512e+00,0.2,0.05
-7.504e+00,0.2,0.05
-7.496e+00,0.2,0.05
-7.488e+00,0.2,0.05
-7.480e+00,0.2,0.03
-7.472e+00,0.4,0.03
-7.464e+00,0.2,0.03
-7.456e+00,0.4,0.05
-7.448e+00,0.4,0.03
-7.440e+00,0.2,0.05
-7.432e+00,0.2,0.05
-7.424e+00,0.2,0.05
-7.416e+00,0.4,0.03
-7.408e+00,0.2,0.05
-7.400e+00,0.4,0.05
-7.392e+00,0.4,0.05
-7.384e+00,0.4,0.03
-7.376e+00,0.4,0.05
-7.368e+00,0.4,0.05
-7.360e+00,0.4,0.05
-7.352e+00,0.4,0.05
-7.344e+00,0.4,0.05
-7.336e+00,0.4,0.05
-7.328e+00,0.4,0.05
-7.320e+00,0.4,0.03
-7.312e+00,0.4,0.05
-7.304e+00,0.2,0.05
-7.296e+00,0.4,0.05
-7.288e+00,0.2,0.05
-7.280e+00,0.4,0.05
-7.272e+00,0.4,0.05
-7.264e+00,0.4,0.07
-7.256e+00,0.4,0.05
-7.248e+00,0.4,0.05
-7.240e+00,0.4,0.05
-7.232e+00,0.4,0.05
-7.224e+00,0.4,0.05
-7.216e+00,0.4,0.05
-7.208e+00,0.2,0.05
-7.200e+00,0.4,0.05
-7.192e+00,0.4,0.05
-7.184e+00,0.4,0.05
-7.176e+00,0.4,0.05
-7.168e+00,0.6,0.05
-7.160e+00,0.4,0.05
-7.152e+00,0.6,0.05
-7.144e+00,0.4,0.05
-7.136e+00,0.4,0.05
-7.128e+00,0.4,0.05
-7.120e+00,0.6,0.05
-7.112e+00,0.6,0.05
-7.104e+00,0.6,0.03
-7.096e+00,0.6,0.05
-7.088e+00,0.6,0.05
-7.080e+00,0.6,0.05
-7.072e+00,0.6,0.05
-7.064e+00,0.6,0.05
-7.056e+00,0.6,0.05
-7.048e+00,0.6,0.03
-7.040e+00,0.6,0.05
-7.032e+00,0.6,0.03
-7.024e+00,0.6,0.03
-7.016e+00,0.6,0.03
-7.008e+00,0.6,0.05
-7.000e+00,0.6,0.03
-6.992e+00,0.6,0.03
-6.984e+00,0.6,0.03
-6.976e+00,0.6,0.03
-6.968e+00,0.8,0.03
-6.960e+00,0.6,0.05
-6.952e+00,0.6,0.03
-6.944e+00,0.6,0.05
-6.936e+00,0.6,0.05
-6.928e+00,0.6,0.05
-6.920e+00,0.6,0.05
-6.912e+00,0.6,0.05
-6.904e+00,0.8,0.03
-6.896e+00,0.8,0.05
-6.888e+00,0.8,0.05
-6.880e+00,0.8,0.05
-6.872e+00,0.6,0.05
-6.864e+00,0.6,0.05
-6.856e+00,0.8,0.05
-6.848e+00,0.6,0.05
-6.840e+00,0.8,0.05
-6.832e+00,0.8,0.05
-6.824e+00,0.8,0.05
-6.816e+00,0.8,0.05
-6.808e+00,0.8,0.05
-6.800e+00,0.8,0.05
-6.792e+00,0.6,0.05
-6.784e+00,0.8,0.05
-6.776e+00,0.8,0.05
-6.768e+00,0.8,0.05
-6.760e+00,0.8,0.05
-6.752e+00,0.8,0.03
-6.744e+00,0.6,0.05
-6.736e+00,0.6,0.05
-6.728e+00,0.8,0.03
-6.720e+00,0.8,0.05
-6.712e+00,0.8,0.03
-6.704e+00,0.8,0.05
-6.696e+00,0.8,0.03
-6.688e+00,0.8,0.05
-6.680e+00,1,0.05
-6.672e+00,1,0.03
-6.664e+00,0.8,0.03
-6.656e+00,0.8,0.05
-6.648e+00,0.8,0.03
-6.640e+00,1,0.03
-6.632e+00,1,0.03
-6.624e+00,0.8,0.03
-6.616e+00,0.8,0.03
-6.608e+00,1,0.03
-6.600e+00,0.8,0.05
-6.592e+00,1,0.03
-6.584e+00,1,0.03
-6.576e+00,0.8,0.03
-6.568e+00,1,0.03
-6.560e+00,1,0.05
-6.552e+00,1,0.03
-6.544e+00,1,0.03
-6.536e+00,1,0.03
-6.528e+00,1,0.05
-6.520e+00,0.8,0.03
-6.512e+00,0.8,0.05
-6.504e+00,1,0.05
-6.496e+00,0.8,0.05
-6.488e+00,1,0.03
-6.480e+00,0.8,0.05
-6.472e+00,1,0.05
-6.464e+00,1,0.05
-6.456e+00,1.2,0.05
-6.448e+00,1,0.05
-6.440e+00,0.8,0.05
-6.432e+00,1,0.05
-6.424e+00,1,0.05
-6.416e+00,1,0.05
-6.408e+00,1,0.05
-6.400e+00,1,0.07
-6.392e+00,1,0.05
-6.384e+00,1.2,0.05
-6.376e+00,1.2,0.05
-6.368e+00,1.2,0.05
-6.360e+00,1.2,0.05
-6.352e+00,1.2,0.05
-6.344e+00,1.2,0.05
-6.336e+00,1.2,0.05
-6.328e+00,1.2,0.05
-6.320e+00,1.2,0.05
-6.312e+00,1.2,0.05
-6.304e+00,1.2,0.05
-6.296e+00,1.2,0.05
-6.288e+00,1.2,0.03
-6.280e+00,1.2,0.05
-6.272e+00,1.2,0.03
-6.264e+00,1,0.05
-6.256e+00,1.2,0.05
-6.248e+00,1.2,0.05
-6.240e+00,1.2,0.05
-6.232e+00,1.2,0.05
-6.224e+00,1.2,0.05
-6.216e+00,1.2,0.05
-6.208e+00,1.2,0.03
-6.200e+00,1.2,0.03
-6.192e+00,1.4,0.03
-6.184e+00,1.2,0.03
-6.176e+00,1.2,0.03
-6.168e+00,1.2,0.03
-6.160e+00,1.4,0.03
-6.152e+00,1.2,0.03
-6.144e+00,1.2,0.03
-6.136e+00,1.2,0.03
-6.128e+00,1.4,0.03
-6.120e+00,1.2,0.03
-6.112e+00,1.2,0.03
-6.104e+00,1.4,0.03
-6.096e+00,1.4,0.03
-6.088e+00,1.4,0.03
-6.080e+00,1.4,0.03
-6.072e+00,1.4,0.03
-6.064e+00,1.2,0.03
-6.056e+00,1.2,0.03
-6.048e+00,1.4,0.03
-6.040e+00,1.4,0.03
-6.032e+00,1.4,0.03
-6.024e+00,1.2,0.01
-6.016e+00,1.4,0.03
-6.008e+00,1.2,0.03
-6.000e+00,1.2,0.03
-5.992e+00,1.4,0.03
-5.984e+00,1.2,0.03
-5.976e+00,1.4,0.03
-5.968e+00,1.4,0.03
-5.960e+00,1.2,0.03
-5.952e+00,1.4,0.03
-5.944e+00,1.4,0.03
-5.936e+00,1.2,0.03
-5.928e+00,1.4,0.03
-5.920e+00,1.4,0.03
-5.912e+00,1.4,0.03
-5.904e+00,1.4,0.03
-5.896e+00,1.4,0.03
-5.888e+00,1.4,0.03
-5.880e+00,1.4,0.01
-5.872e+00,1.6,0.03
-5.864e+00,1.4,0.03
-5.856e+00,1.4,0.03
-5.848e+00,1.6,0.03
-5.840e+00,1.6,0.03
-5.832e+00,1.4,0.03
-5.824e+00,1.4,0.03
-5.816e+00,1.6,0.03
-5.808e+00,1.4,0.05
-5.800e+00,1.6,0.03
-5.792e+00,1.6,0.03
-5.784e+00,1.6,0.03
-5.776e+00,1.6,0.03
-5.768e+00,1.6,0.01
-5.760e+00,1.6,0.03
-5.752e+00,1.6,0.03
-5.744e+00,1.6,0.03
-5.736e+00,1.4,0.03
-5.728e+00,1.6,0.03
-5.720e+00,1.6,0.01
-5.712e+00,1.6,0.01
-5.704e+00,1.6,0.03
-5.696e+00,1.6,0.03
-5.688e+00,1.6,0.03
-5.680e+00,1.6,0.03
-5.672e+00,1.6,0.01
-5.664e+00,1.6,0.03
-5.656e+00,1.6,0.03
-5.648e+00,1.6,0.03
-5.640e+00,1.6,0.01
-5.632e+00,1.6,0.03
-5.624e+00,1.6,0.03
-5.616e+00,1.6,0.03
-5.608e+00,1.6,0.03
-5.600e+00,1.8,0.03
-5.592e+00,1.8,0.03
-5.584e+00,1.8,0.03
-5.576e+00,1.8,0.03
-5.568e+00,1.8,0.03
-5.560e+00,1.6,0.05
-5.552e+00,1.8,0.05
-5.544e+00,1.8,0.05
-5.536e+00,1.8,0.03
-5.528e+00,1.8,0.03
-5.520e+00,1.6,0.05
-5.512e+00,1.8,0.03
-5.504e+00,1.6,0.05
-5.496e+00,1.6,0.05
-5.488e+00,1.8,0.05
-5.480e+00,1.8,0.05
-5.472e+00,1.8,0.05
-5.464e+00,1.8,0.05
-5.456e+00,1.8,0.05
-5.448e+00,1.8,0.05
-5.440e+00,1.8,0.05
-5.432e+00,1.8,0.05
-5.424e+00,1.8,0.05
-5.416e+00,1.8,0.05
-5.408e+00,1.8,0.05
-5.400e+00,1.8,0.05
-5.392e+00,1.8,0.05
-5.384e+00,1.8,0.05
-5.376e+00,1.8,0.05
-5.368e+00,1.8,0.07
-5.360e+00,1.8,0.07
-5.352e+00,1.8,0.05
-5.344e+00,1.8,0.05
-5.336e+00,1.8,0.05
-5.328e+00,1.8,0.03
-5.320e+00,1.8,0.05
-5.312e+00,1.8,0.03
-5.304e+00,2,0.05
-5.296e+00,1.8,0.05
-5.288e+00,2,0.05
-5.280e+00,1.8,0.05
-5.272e+00,2,0.03
-5.264e+00,1.8,0.05
-5.256e+00,2,0.03
-5.248e+00,1.8,0.05
-5.240e+00,2,0.05
-5.232e+00,2,0.05
-5.224e+00,2,0.05
-5.216e+00,2,0.05
-5.208e+00,2,0.05
-5.200e+00,1.8,0.05
-5.192e+00,2,0.03
-5.184e+00,2,0.05
-5.176e+00,2,0.05
-5.168e+00,1.8,0.05
-5.160e+00,2,0.05
-5.152e+00,2,0.05
-5.144e+00,1.8,0.05
-5.136e+00,2,0.05
-5.128e+00,2,0.05
-5.120e+00,2,0.05
-5.112e+00,2,0.05
-5.104e+00,2,0.05
-5.096e+00,2,0.05
-5.088e+00,2.2,0.05
-5.080e+00,2,0.05
-5.072e+00,2.2,0.05
-5.064e+00,2,0.05
-5.056e+00,2,0.03
-5.048e+00,2.2,0.03
-5.040e+00,2,0.03
-5.032e+00,2,0.03
-5.024e+00,2.2,0.03
-5.016e+00,2,0.03
-5.008e+00,2,0.03
-5.000e+00,3.6,0.01
-4.992e+00,3.8,0.01
-4.984e+00,3.8,0.01
-4.976e+00,3.8,0.03
-4.968e+00,3.8,0.03
